CONTAINER ID   IMAGE                                                     COMMAND                  CREATED        STATUS                     PORTS                                                                                            NAMES
3575d67aac1f   noesar-evolution:d0373-voice-conversation                 "/opt/noesar/bin/noe…"   13 hours ago   Up 13 hours (healthy)      192.168.178.100:8089->8089/tcp, 192.168.178.100:8443->8443/tcp, 192.168.178.100:8100->8088/tcp   noesar-evolution
5926b19e61e0   noesar-evolution:d0372-voice-window                       "/opt/noesar/bin/noe…"   14 hours ago   Exited (0) 13 hours ago                                                                                                     noesar-evolution-old-d0372
944ceffa426b   fridayn-model-factory:v1                                  "/usr/bin/tini -- /a…"   7 weeks ago    Exited (143) 7 weeks ago                                                                                                    fridayn-model-factory
593f59711ae8   ghcr.io/huggingface/text-embeddings-inference:cuda-1.9    "./entrypoint.sh --m…"   2 months ago   Exited (0) 2 weeks ago                                                                                                      noesar-fridayn-tei-embedder-v2
c405eff0f976   jc21/nginx-proxy-manager                                  "/init"                  2 months ago   Up 2 weeks                                                                                                                  Nginx-Proxy-Manager-Official
0bd09cfbf6ad   ghcr.io/huggingface/text-embeddings-inference:cuda-1.9    "./entrypoint.sh --m…"   2 months ago   Exited (0) 5 weeks ago                                                                                                      noesar-fridayn-tei-reranker-v1
32bb8d3f64dc   ghcr.io/binhex/arch-flaresolverr                          "/usr/bin/dumb-init …"   2 months ago   Up 3 days (healthy)                                                                                                         binhex-flaresolverr
6b6205e79d8e   emby/embyserver:latest                                    "/init"                  2 months ago   Up 2 weeks                                                                                                                  EmbyServer
4124ebf112c2   noesar-core:data-factory-curated-api-20260525T153414Z     "/usr/local/bin/noes…"   2 months ago   Exited (2) 2 weeks ago                                                                                                      noesar-core
17375b0ac642   noesar-dataset-factory:worker-job-ui-20260525T133055Z     "python -m src.worker"   2 months ago   Exited (137) 5 weeks ago                                                                                                    noesar-dataset-factory
79761a33e8eb   noesar-gateway:stage2a                                    "/usr/local/bin/noes…"   2 months ago   Exited (2) 5 weeks ago                                                                                                      noesar-gateway
d0ac1ed56fd8   qdrant/qdrant:v1.12.6                                     "./entrypoint.sh"        2 months ago   Exited (143) 5 weeks ago                                                                                                    noesar-qdrant
b40388b0c52e   postgres:16-alpine                                        "docker-entrypoint.s…"   2 months ago   Exited (0) 2 weeks ago                                                                                                      noesar-db
3c0e420a9a7b   ich777/krusader                                           "/opt/scripts/start.…"   2 months ago   Exited (143) 4 weeks ago                                                                                                    Krusader
876b5eb75595   figro/unraid-cloudflared-tunnel                           "./cloudflared.sh"       3 months ago   Up 2 weeks                                                                                                                  Unraid-Cloudflared-Tunnel
3d72932d01e9   oznu/cloudflare-ddns                                      "/init"                  3 months ago   Up 2 weeks                                                                                                                  Cloudflare-DDNS
